Tempo (us) 	 Tensione (V)
-81.539521	-0.001795
-81.523521	-0.000055
-81.507521	-0.001795
-81.491521	-0.000055
-81.475521	-0.002893
-81.459521	0.000952
-81.443521	-0.002527
-81.427521	-0.002039
-81.411521	0.000555
-81.395521	-0.002161
-81.379521	-0.000421
-81.363521	-0.001428
-81.347521	0.002173
-81.331521	-0.000787
-81.315521	0.000555
-81.299521	-0.000909
-81.283521	-0.000543
-81.267521	-0.000665
-81.251521	0.001807
-81.235521	-0.000665
-81.219521	-0.000421
-81.203521	0.000067
-81.187521	-0.000543
-81.171521	-0.001062
-81.155521	0.000677
-81.139521	-0.000665
-81.123521	-0.000787
-81.107521	-0.003290
-81.091521	0.000677
-81.075521	-0.002283
-81.059521	-0.001672
-81.043521	-0.000299
-81.027521	-0.003290
-81.011521	0.000677
-80.995521	0.001074
